Stationsnavn;Operatør;Jan;Feb;Mar;Apr;Maj;Jun;Jul;Aug;Sep;Okt;Nov;Dec;Total
Thisted;Arriva;4.602;4.500;5.208;5.028;4.713;4.638;4.352;5.344;5.211;4.658;5.175;4.453;57.882
Thisted;DSB FR;;;;;;;;;;;;;0
Thyborøn Kirke;Midtjyske Jernbaner;;;;;;;;;;;;;0
Thyborøn st.;Midtjyske Jernbaner;;;;;;;;;;;;;0
Thyregod;Arriva;1.729;1.492;1.931;1.560;1.852;1.650;889;1.567;1.712;1.765;1.867;1.402;19.416
Thyregod;DSB FR;1.256;1.163;1.414;1.238;1.271;938;343;876;1.305;1.281;1.269;1.108;13.462
Tim;Arriva;;;;;;;;;;;;;0
Tinglev;DSB FR;3.698;2.964;3.229;3.655;3.762;3.730;3.969;4.011;4.190;3.933;3.653;3.448;44.242
Tistrup;Arriva;1.812;1.640;1.859;1.698;1.936;1.361;1.372;1.911;2.439;2.188;2.329;1.779;22.324
Tisvildeleje;Lokaltog;2.712;2.811;3.171;4.839;6.026;9.293;14.916;6.342;5.461;3.488;3.322;2.836;65.217
Tjæreborg;Arriva;2.779;2.469;2.892;2.632;2.939;2.882;1.868;3.192;3.017;2.630;3.189;2.721;33.210
Tokkerup;Lokaltog;331;363;299;200;275;253;166;233;513;246;252;196;3.327
Tolne;DSB FR;;;;;;;;;;;;;0
Tolne;Nordjyske Jernbaner;1.161;974;1.169;1.147;1.213;1.244;1.076;1.413;1.465;1.406;1.526;1.111;14.905
Tommerup;DSB FR;5.940;5.523;5.864;6.025;6.148;5.149;4.486;7.368;6.669;7.543;5.975;5.328;72.018
Tornby;Nordjyske Jernbaner;2.474;2.140;2.657;2.097;2.501;2.554;1.854;2.691;3.018;2.260;2.606;1.818;28.670
Trekroner;DSB FR;65.595;63.793;71.472;60.570;75.198;82.961;62.247;77.311;85.094;84.091;83.761;70.120;882.213
Troldebakkerne;Lokaltog;316;352;417;513;628;641;731;662;842;431;647;333;6.513
Troldhede;Arriva;1.127;1.029;1.173;976;850;818;673;1.067;1.210;1.111;1.135;938;12.107
Tureby;DSB FR;2.509;2.579;2.760;2.816;3.766;4.163;3.429;3.889;4.481;4.067;3.826;3.358;41.643
Tølløse;DSB FR;30.733;24.792;24.432;28.271;27.146;21.652;21.443;30.495;27.299;31.730;26.687;22.124;316.804
Tølløse;Lokaltog;8.255;7.547;8.782;7.320;8.765;7.441;7.018;8.178;7.692;7.643;8.074;7.525;94.240
Tønder;Arriva;2.242;2.060;2.557;2.206;4.259;5.367;4.675;8.387;6.200;5.408;3.561;2.919;49.841
Tønder Nord;Arriva;3.402;2.643;3.456;2.428;3.092;2.892;1.555;3.443;4.380;3.613;4.297;3.047;38.248
Tårnby;DSB FR;3.973;3.754;4.171;3.724;4.490;4.829;3.793;4.991;5.097;4.878;4.771;4.052;52.523
Udland via Helsingør-Helsingborg overfart;DSB FR;13.195;14.026;16.901;26.569;29.377;35.418;39.582;28.374;20.436;18.210;18.909;22.160;283.157
Udland via Padborg grænse;DSB FR;32.018;20.562;10.604;38.756;38.703;76.017;86.481;92.414;46.338;43.294;33.849;42.862;561.898
Udland via Øresundsforbindelsen;DSB FR;0;0;0;0;0;;;0;0;0;0;0;0
Uglev;Arriva;346;314;443;378;446;323;265;409;424;329;449;343;4.469
Uglev;DSB FR;;;;;;;;;;;;;0
Ukendt;Arriva;;;;;;;;;;;;;0
Ukendt;DSB FR;33.921;29.256;31.803;32.686;29.808;22.401;22.590;35.461;36.798;39.921;32.753;35.902;383.300
Ulfborg;Arriva;;;;;;;;;;;;;0
Ulstrup;Arriva;2.859;2.642;3.250;2.802;3.132;3.244;1.825;2.988;3.391;3.004;3.333;3.137;35.607
Uphusum;Arriva;58;57;122;100;190;267;167;261;365;260;45;;1.892
Valby;DSB FR;121.782;111.996;122.588;115.055;124.647;120.580;99.131;137.205;143.287;147.182;140.578;117.640;1.501.671
Vallø;Lokaltog;795;812;773;708;950;711;527;633;1.361;942;687;550;9.449
Vamdrup;DSB FR;3.288;3.163;3.562;3.452;3.616;3.281;2.827;4.679;4.058;4.108;3.905;3.454;43.393
Varde;Arriva;10.957;10.284;11.794;10.808;11.843;9.536;10.035;12.368;13.131;11.532;11.749;11.029;135.066
Varde Kaserne;Arriva;1.147;1.145;1.504;1.122;1.411;980;688;1.630;1.828;1.434;1.783;1.100;15.772
Varde Nord;Arriva;1.791;1.458;2.081;1.463;1.597;734;560;1.833;2.339;1.938;2.267;1.570;19.631
Varde Vest;Arriva;1.618;1.484;1.923;1.539;1.613;1.253;1.028;1.613;1.879;1.742;1.860;1.418;18.970
Varpelev;Lokaltog;516;474;518;515;499;368;351;454;466;293;492;297;5.243
Vedbæk;DSB FR;13.968;12.929;15.077;14.735;16.503;16.443;14.122;16.992;17.367;16.033;15.517;13.285;182.971
Vedde;Lokaltog;596;453;655;530;727;643;556;663;593;645;721;708;7.490
Vejby;Lokaltog;6.171;4.754;5.690;6.858;7.368;7.720;9.582;7.637;6.504;6.919;7.067;7.176;83.446
Vejen;DSB FR;16.620;14.052;14.350;16.049;15.292;12.492;13.227;18.354;15.769;17.057;15.319;13.258;181.839
Vejle;Arriva;15.855;16.309;17.775;16.589;18.752;16.350;17.286;18.566;17.687;18.305;18.191;16.203;207.868
Vejle;DSB FR;99.654;86.221;89.165;97.274;95.856;89.644;88.695;118.513;91.644;105.652;94.226;80.314;1.136.858
Vejle Sygehus;Arriva;1.433;1.186;1.610;1.402;1.906;1.549;1.201;1.463;1.661;1.481;1.568;1.257;17.717
Vejle Sygehus;DSB FR;257;204;252;208;240;207;125;282;222;238;270;229;2.734
Vellingshøj;Nordjyske Jernbaner;582;563;772;617;717;669;461;525;657;464;630;420;7.077
Vemb;Arriva;;;;;;;;;;;;;0
Vemb;Midtjyske Jernbaner;;;;;;;;;;;;;0
Vibehus;Lokaltog;8.045;6.326;7.149;6.714;8.830;7.636;6.029;9.268;7.329;8.096;7.886;6.840;90.148
Viborg;Arriva;26.191;24.634;29.277;25.848;27.228;26.702;18.916;28.354;30.634;29.703;30.840;25.817;324.144
Viby Jylland;Arriva;5.322;5.729;6.995;5.218;6.214;5.913;3.780;6.692;8.676;7.152;7.361;5.220;74.272
Viby Sjælland;DSB FR;14.268;13.890;16.042;13.256;16.535;18.679;14.015;17.329;18.894;18.438;18.650;15.808;195.804
Victoria Street Station;Midtjyske Jernbaner;;;;;;;;;;;;;0
Vidstrup;Nordjyske Jernbaner;419;425;412;348;439;449;353;403;452;339;449;361;4.849
Vig;Lokaltog;5.017;4.679;5.919;5.773;6.887;6.492;8.527;6.791;6.869;5.479;6.676;4.768;73.877
Vildbjerg;Arriva;4.752;4.586;5.452;4.643;5.120;4.601;3.271;6.027;5.257;5.182;5.740;4.379;59.010
Vildbjerg;DSB FR;1.406;1.555;1.673;1.533;1.510;1.261;590;816;1.948;1.883;1.723;1.677;17.575
Vinderup;Arriva;1.836;1.677;2.105;2.028;2.229;2.113;1.823;2.233;2.527;2.282;2.407;2.245;25.505
Vipperød;DSB FR;7.212;5.839;6.632;6.893;6.506;5.994;5.396;7.487;7.526;7.924;7.541;5.827;80.777
Visby;Arriva;583;416;674;507;686;573;348;631;619;537;540;451;6.565
Vojens;DSB FR;6.959;6.192;5.846;6.347;6.337;5.613;5.688;6.852;7.150;7.687;6.828;5.901;77.400
Vordingborg;DSB FR;30.794;28.553;28.552;31.728;31.761;27.624;29.669;35.492;33.613;32.767;31.522;26.942;369.017
Vrist;Midtjyske Jernbaner;;;;;;;;;;;;;0
Vrøgum;Arriva;274;261;324;275;304;287;232;465;389;334;312;267;3.724
Vrå;DSB FR;;;;;;;;;;;;;0
Vrå;Nordjyske Jernbaner;8.743;7.825;9.889;8.236;9.134;8.428;7.759;9.283;10.020;8.818;10.056;8.031;106.222
Ydby;Arriva;338;291;400;321;401;279;302;423;421;347;364;311;4.198
Ydby;DSB FR;;;;;;;;;;;;;0
Ystad;DSB FR;0;0;0;0;0;0;0;0;0;0;0;0;0
Ølby;DSB FR;;;;9.833;11.886;11.740;9.889;12.134;12.708;13.102;12.642;10.443;104.377
Ølby;Lokaltog;11.906;10.525;13.023;10.213;11.646;10.414;5.666;8.497;9.680;11.098;11.130;6.941;120.739
Ølgod;Arriva;3.807;3.323;4.004;3.621;3.887;2.595;2.231;3.400;4.371;3.777;4.091;3.272;42.379
Ølsted;Lokaltog;7.581;5.056;7.232;5.659;7.394;6.731;5.751;7.068;7.346;7.125;7.749;6.152;80.844
Ørby;Lokaltog;500;417;302;483;603;757;666;506;452;438;420;699;6.243
Ørestad;DSB FR;15.123;14.199;16.041;15.206;15.909;15.658;12.677;17.181;18.330;18.897;17.466;13.536;190.223
Øresundsbroen;DSB FR;;;;;;;;;;;;;0
Ørholm;Lokaltog;3.262;2.862;3.476;3.339;3.536;3.159;2.529;3.194;3.349;3.010;3.488;3.302;38.506
Øster Toreby;Lokaltog;1.672;1.399;1.887;1.598;1.724;1.675;1.464;1.986;1.265;1.288;1.247;1.271;18.476
Østerbjerg;Lokaltog;1.531;800;1.054;1.110;1.733;1.215;926;869;810;720;777;601;12.146
Østerport;DSB FR;162.050;153.841;174.042;162.699;188.323;190.937;159.364;194.223;202.757;195.987;191.737;161.000;2.136.960
Aalborg;DSB FR;76.587;66.979;74.638;77.389;82.231;75.891;77.796;87.889;84.167;83.471;76.371;69.344;932.753
Aalborg;Nordjyske Jernbaner;39.704;39.524;44.714;43.232;49.475;44.115;44.262;49.654;51.345;43.043;47.105;42.902;539.075
